word,frequency
sure,312
tune,116
watch,713
donald,1848
trump,5368
late,126
night,736
david,140
letterman,87
presents,12
top,303
ten,31
list,90
tonight,812
appearing,14
view,82
tomorrow,484
morning,373
discuss,66
celebrity,279
apprentice,495
new,1952
book,424
think,1028
like,1729
champion,179
reads,10
financial,75
tips,11
show,853
http,4674
funny,74
blog,19
post,196
finale,35
lessons,19
learned,41
along,160
way,890
persona,6
never,1482
wallflower,1
rather,113
build,196
walls,23
cling,1
miss,266
usa,447
tara,1
conner,2
fired,206
always,679
believer,9
second,219
chances,14
says,253
listen,110
interview,628
discussing,269
strive,7
wholeness,2
keep,680
sense,112
wonder,139
intact,12
enter,41
signed,112
keychain,3
contest,22
achiever,1
achieves,1
plateau,13
beginning,141
afraid,80
unique,13
best,1114
self,40
win,878
lives,167
moment,41
days,195
could,606
use,278
little,242
power,184
trumpative,1
thinking,144
know,901
precipice,2
something,276
great,6705
read,371
appeared,6
york,428
times,326
magazine,96
fast,300
short,82
direct,23
whatever,75
forget,130
facebook,61
become,233
fan,136
today,1277
higher,113
opposition,34
comfort,10
zone,17
excerpt,3
call,353
quits,6
moving,98
forward,542
check,155
igoogle,1
showcase,6
page,86
problems,167
pretending,13
run,1181
last,916
week,317
birthday,214
send,115
wishes,63
thanks,2286
thoughtful,1
fb,1
vanity,18
urls,1
sf,2
chronicle,2
beckham,1
one,1577
first,778
britney,1
spears,1
wishing,33
happy,520
father,90
day,811
dad,41
everyday,26
expand,21
life,326
every,470
wwe,59
raw,5
big,1693
rating,104
michael,135
jackson,29
friend,222
spectacular,78
entertainer,4
devastating,25
loss,57
powerful,87
frank,21
economy,474
greta,128
van,32
susteren,18
record,507
safe,194
independence,24
enjoy,394
aware,18
things,500
seem,58
inexplicable,1
step,67
towards,23
innovation,21
backs,14
randal,1
pinkett,1
lieutenant,2
governor,301
congrats,168
winners,51
around,239
world,872
entered,10
books,75
summer,26
reading,100
university,84
browse,1
business,561
success,402
utilize,2
develop,20
capability,7
ivanka,69
twitter,179
follow,131
ivankatrump,209
terrific,119
weekend,134
recent,61
appearance,36
universe,85
competition,45
live,335
bahamas,13
sunday,188
et,76
nbc,332
reminder,6
est,61
bids,2
buy,166
oreo,2
double,57
stuf,1
racing,2
league,49
hysterical,1
dsrl,1
videos,11
featuring,27
plus,87
golden,26
lick,1
race,170
sweepstakes,1
lot,280
people,2697
imagination,22
ca,614
execute,8
say,587
daughter,52
upcoming,46
card,42
video,152
sharing,13
advice,97
entrepreneurial,9
women,263
gma,20
hear,241
gov,56
spending,190
banks,42
taxes,264
cavuto,9
jared,10
wedding,20
make,1562
beautiful,406
couple,36
proud,291
work,875
begun,27
ahead,103
schedule,41
greatest,287
golf,528
course,444
history,499
international,153
scotland,221
partners,26
reality,83
series,33
entitled,17
omarosa,75
ultimate,26
merger,8
bountiful,1
thanksgiving,40
tower,265
chicago,205
ranked,14
tallest,8
building,238
council,48
tall,10
buildings,32
urban,6
habitat,1
everyone,468
wonderful,427
holiday,48
healthy,29
prosperous,15
year,632
let,598
champions,26
returns,55
outstanding,63
celebrities,20
season,300
yet,290
tycoon,6
app,15
iphone,17
ipod,3
touch,109
priceless,5
saw,125
lady,66
gaga,3
fantastic,392
channel,23
host,80
match,33
tngc,2
la,38
mark,165
wahlberg,1
kevin,69
dillon,2
superbowl,14
american,881
tradition,11
colts,4
saints,3
already,296
may,293
team,220
cnn,569
connect,9
connector,1
submit,10
questions,113
final,106
episode,90
jay,44
leno,10
deliver,61
special,230
message,84
wife,135
melania,143
launch,31
jewelry,10
line,94
debut,12
qvc,21
april,42
andrea,3
bocelli,1
many,1434
entertainment,14
long,499
palm,69
beach,90
premiere,33
march,109
see,1089
start,303
swept,4
hour,62
key,59
demographic,3
olympic,22
gold,58
medalist,2
evan,4
lysacek,2
left,371
office,374
town,43
wanted,143
meet,135
fanastic,1
guy,380
true,922
announce,106
theoriginal,1
offer,62
job,1065
opportunities,47
need,1056
coming,383
back,1213
set,159
stage,52
even,1026
excitement,26
hotel,281
collection,65
currently,41
nominated,26
conde,8
nast,9
traveler,7
readers,8
choice,141
awards,39
travel,59
leisure,6
original,37
takes,94
next,499
casting,11
details,32
nyc,170
thisthursday,1
information,138
go,967
open,316
look,681
seeing,126
drew,21
thousands,151
eager,2
applicants,2
impressive,28
group,86
enjoyed,73
meeting,316
got,702
candidates,116
attended,15
skating,8
stars,25
gala,19
wollman,8
rink,22
central,53
park,68
stay,264
tuned,72
part,182
scottish,39
fashion,17
benefits,28
veterans,143
dressed,8
kilt,2
sir,128
sean,35
connery,1
bestselling,3
available,66
paperback,3
inspiring,31
entertaining,26
soho,15
opens,24
friday,97
downtown,21
unlike,49
anything,285
else,225
visit,134
soon,478
fabulous,48
adventure,3
looking,605
yankees,94
opening,76
kids,49
places,50
place,380
motto,8
police,138
athletic,7
organization,53
support,466
jerome,8
bettis,1
bus,16
pittsburgh,23
steelers,1
play,187
int,111
l,97
julius,2
erving,1
j,13
marriage,12
ref,2
onthursday,1
panel,19
experts,27
gloria,4
estefan,1
adam,101
carolla,2
idiot,15
broadway,7
amazing,615
theatrical,1
experience,82
cbs,62
fun,153
put,373
calendar,4
las,104
vegas,132
thoughts,132
prayers,86
remain,59
bret,23
michaels,11
family,304
speedy,8
recovery,62
larry,32
king,79
conversation,72
introduce,6
timepieces,6
pm,202
debuting,2
pageant,81
hosted,39
curtis,6
stone,42
natalie,7
morales,3
also,584
country,1981
superstar,5
trace,13
adkins,1
pop,3
rock,51
sensation,3
boys,17
girls,14
providing,10
backstage,6
commentary,18
comedic,1
duo,3
joan,54
melissa,3
rivers,44
lineup,6
progress,94
full,232
congratulations,521
rima,3
fakih,2
represent,37
us,1211
well,676
happening,118
jewlery,1
free,171
tickets,95
latest,44
update,14
making,395
effort,68
attend,20
pick,68
bretmichaels,17
hollyrpeete,4
vote,1186
caught,118
holly,6
ratings,353
time,1643
spent,150
several,8
years,953
right,754
visiting,35
sites,16
absolutely,153
north,383
coast,52
sea,12
sand,11
dunes,11
rolling,29
bluffs,6
walked,14
geomorphology,1
study,42
movement,82
landforms,1
trip,68
memorial,49
thought,196
done,852
much,1223
freedom,108
turning,48
table,22
saturday,121
interviewing,8
honor,406
anniversary,56
checking,16
westchester,10
guest,51
trade,487
kingsthings,5
clips,6
honored,96
chosen,17
gray,3
ny,107
ride,18
fame,54
campaign,514
ribbon,8
cutting,60
ceremony,33
front,66
site,42
rode,3
yesterday,352
wsj,64
covers,20
dinner,90
quattro,1
hottest,13
restaurants,30
city,225
hotels,59
anywhere,57
tv,154
starring,3
twelve,7
brave,88
bachelors,1
relief,36
telethon,3
two,515
gulf,7
million,289
raised,67
hours,92
eric,91
foundation,52
jude,7
children,120
research,33
hospital,26
trading,14
shots,21
article,100
wall,466
street,98
journal,53
expected,71
begin,52
thankful,16
due,84
popular,71
demand,81
june,73
monday,159
july,45
edition,8
thursdays,2
fall,71
putting,90
george,104
steinbrenner,11
legend,33
anyone,253
lost,303
truly,265
man,611
visited,34
courses,67
another,546
accept,36
hollyrod,1
humanitarian,28
award,82
robinson,5
peete,1
newest,9
helping,93
serta,13
counting,15
sheep,6
get,1965
august,39
performing,9
mandalay,1
bay,33
resort,69
casino,6
telemundo,7
orianthi,1
john,346
roots,8
calenders,1
september,44
https,2744
event,153
held,70
national,589
club,168
webisode,2
favorite,144
hire,23
click,5
would,2069
thursday,75
four,101
going,1249
hotter,2
mexico,344
jimena,1
navarrete,2
raked,2
golfing,7
bedminster,42
went,201
game,213
bill,361
watching,348
invited,10
caroline,1
wozniacki,1
sit,31
box,23
civilian,7
version,23
air,119
opportunity,83
annual,35
